date,sales
2018-05-22,80.04
2018-05-23,65.26
2018-05-24,74.46
2018-05-25,75.5
2018-05-26,79.2
2018-05-27,70.56
2018-05-28,71.93
2018-05-29,83.19
2018-05-30,84.29
2018-05-31,86.37
2018-06-01,89.16
2018-06-02,86.25
2018-06-03,92.86
2018-06-04,94.95
2018-06-05,91.38
2018-06-06,105.36
2018-06-07,99.07
2018-06-08,90.98
2018-06-09,100.02
2018-06-10,91.25
2018-06-11,99.06
2018-06-12,99.6
2018-06-13,88.12
2018-06-14,95.29
2018-06-15,90.69
2018-06-16,90.89
2018-06-17,94.51
2018-06-18,82.23
2018-06-19,78.37
2018-06-20,76.69
2018-06-21,76.44
2018-06-22,79.94
2018-06-23,82.26
2018-06-24,82.61
2018-06-25,86.45
2018-06-26,83.84
2018-06-27,92.83
2018-06-28,86.28
2018-06-29,103.43
2018-06-30,95.27
2018-07-01,90.17
2018-07-02,91.32
2018-07-03,101.13
2018-07-04,99.39
2018-07-05,105.54
2018-07-06,105.42
2018-07-07,103.36
2018-07-08,99.72
2018-07-09,96.18
2018-07-10,100.91
2018-07-11,106.43
2018-07-12,101.9
2018-07-13,93.02
2018-07-14,98.36
2018-07-15,97.58
2018-07-16,89.39
2018-07-17,92.82
2018-07-18,90.77
2018-07-19,83.44
2018-07-20,89.95
2018-07-21,90.35
2018-07-22,92.76
2018-07-23,92.85
2018-07-24,81.36
2018-07-25,84.64
2018-07-26,93.37
2018-07-27,95.15
2018-07-28,97.2
2018-07-29,116.11
2018-07-30,102.02
2018-07-31,107.15
2018-08-01,108.47
2018-08-02,109.0
2018-08-03,105.96
2018-08-04,112.79
2018-08-05,106.22
2018-08-06,109.56
2018-08-07,108.56
2018-08-08,111.19
2018-08-09,121.74
2018-08-10,99.83
2018-08-11,111.28
2018-08-12,98.21
2018-08-13,102.16
2018-08-14,108.12
2018-08-15,101.15
2018-08-16,93.69
2018-08-17,93.92
2018-08-18,99.58
2018-08-19,91.53
2018-08-20,95.65
2018-08-21,94.6
2018-08-22,91.35
2018-08-23,105.99
2018-08-24,99.53
2018-08-25,87.69
2018-08-26,100.54
2018-08-27,98.34
2018-08-28,108.14
2018-08-29,102.22
2018-08-30,107.93
2018-08-31,113.25
2018-09-01,117.1
2018-09-02,108.55
2018-09-03,114.35
2018-09-04,114.73
2018-09-05,114.5
2018-09-06,126.83
2018-09-07,119.83
2018-09-08,110.88
2018-09-09,120.78
2018-09-10,125.49
2018-09-11,118.46
2018-09-12,103.95
2018-09-13,107.28
2018-09-14,114.19
2018-09-15,102.56
2018-09-16,106.74
2018-09-17,107.08
2018-09-18,97.57
2018-09-19,101.3
2018-09-20,85.19
2018-09-21,96.5
2018-09-22,101.03
2018-09-23,97.14
2018-09-24,113.0
2018-09-25,99.48
2018-09-26,106.47
2018-09-27,111.55
2018-09-28,120.42
2018-09-29,108.34
2018-09-30,123.56
2018-10-01,119.84
2018-10-02,116.67
2018-10-03,125.35
2018-10-04,125.12
2018-10-05,121.79
2018-10-06,125.38
2018-10-07,122.9
2018-10-08,124.78
2018-10-09,126.53
2018-10-10,129.83
2018-10-11,114.13
2018-10-12,129.23
2018-10-13,106.96
2018-10-14,114.12
2018-10-15,116.06
2018-10-16,112.95
2018-10-17,107.11
2018-10-18,108.19
2018-10-19,106.15
2018-10-20,105.47
2018-10-21,112.9
2018-10-22,111.1
2018-10-23,106.94
2018-10-24,116.36
2018-10-25,115.19
2018-10-26,119.76
2018-10-27,121.07
